1396.3,1876.5,1396.7,1876.4,22.303
530.86,1084.1,530.67,1086.2,98.212
1800.7,724.99,1801.2,718.06,286.28
939.68,136.33,943.87,135.79,177.06
1001.6,1731.6,1002.2,1733.9,139.94
744.12,1286.2,738.92,1286.3,240.11
145.26,332.33,144.64,331.05,76.165
1117.5,1119.7,1117.8,1118,105.64
479.59,747.92,477.1,749.15,110.31
1056,1525.8,1057.7,1527,118.37
1131.8,1256.8,1131.9,1258.6,77.828
812.93,168.79,812.63,167.66,89.202
1012.4,922.12,1012.8,918.66,167.42
673.56,1295.9,675.6,1295,89.182
1671.7,1438.8,1672.8,1439.6,53.576
956.96,862.2,955.13,864.61,133.96
1035.1,703.43,1034.2,708.35,236.57
993.24,515.1,994.11,514.63,138.64
732.08,1555.1,732.89,1555.2,35.412
350.35,1602.7,355.18,1603.7,223.74
1058.2,1244.3,1059.9,1244.6,67.234
837.15,852.85,834.21,855.54,158.05
798.14,541.4,798.47,543.37,109.54
998.59,1047.5,996.91,1049.5,112.06
1339.4,413.64,1338.2,413.74,52.457
1309.8,1313.6,1309.7,1311.7,113.13
469.94,1038.5,468.64,1037.9,56.309
477.7,1591.4,476.07,1594.3,153.51
1570.9,1742,1568,1740.5,133.33
1088.6,1622.7,1089.5,1623.8,71.011
1115.3,1044.7,1114,1044.9,127.85
838.37,1538.8,836.88,1539.4,64.638
929.93,696.48,931.92,696.49,105.66
1837.9,1419.1,1837.9,1420.7,82.814
847.82,28.669,846.84,23.005,245.15
1884,1145.6,1883.3,1144.6,63.186
502.44,919.13,503.51,918.28,72.469
718.66,1560.9,712.84,1562.7,245.89
196.76,681.98,197.93,683.29,91.863
145,626.46,142.31,625.16,130.78
962.83,871.27,963.82,871.87,69.456
1558.9,217.37,1556.2,216.28,137.53
1122.4,1106.9,1121.5,1108.8,97.097
1301.7,1339.9,1301.2,1339.1,91.08
46.878,1815.9,47.359,1816.4,44.044
1225.3,1253.1,1224.5,1256.9,182.76
1616.8,1700.5,1617.1,1701.8,52.628
1248.2,307.05,1247.1,309.88,155.43
1199.9,1220.4,1195.6,1218.9,182.86
1095,1081.9,1093.8,1081.7,72.457
1763.4,1492.1,1763.4,1491.6,79.151
912.92,805.12,913.75,805.64,64.442
171.16,111.99,172.52,113.26,92.637
768.71,512.8,768.59,512.77,125.64
768.25,9.1554,766.43,9.5468,114.64
1180.8,1232.8,1181.3,1234,80.547
1041.8,1515.2,1042.8,1512.8,104.71
328.19,1609.1,326.98,1609,75.812
1075.5,1259.6,1072.9,1261.8,152.17
1493,1593.1,1493.5,1592.7,67.312
1537.4,1842.9,1536,1841.1,128.25
521.84,745.71,523.51,749.46,184.09
98.842,699.1,99.795,698.37,130.23
771.02,125.51,770.86,124.83,69.438
43.867,1297.1,41.691,1297.8,93.058
485.22,883.31,484.95,885.67,164.72
1244.8,321.25,1245.5,322.97,96.868
1795.6,757.61,1795.9,755.24,109.44
1378.8,385.9,1379.5,385.99,33.632
1406.2,1305.4,1405,1302.9,114.66
1095.2,1156.8,1098.2,1157,141.76
259.53,171.86,258.91,172.05,98.212
1433.2,1793.6,1432.3,1796.3,133.53
1761.2,807.04,1760.6,806.16,53.757
792.71,1562.5,786.95,1567.4,317.23
977.93,749.74,977.98,752.03,92.102
1365.9,1725.6,1365.6,1725.3,16.534
1838.5,1472.5,1835.7,1465.8,289.87
1726.6,378.69,1724.9,383.83,221.52
747.21,1264.4,749.82,1261.7,146.66
271.72,1724.4,271.18,1725,34.048
1296.9,244.86,1294,250.56,263.77
750.74,490.64,748.6,490.86,86.886
637.33,1419.9,637.17,1420.2,33.191
171.08,369.37,171.38,367.23,86.41
1435.6,271.94,1441,272.72,229.25
942.36,451.11,944.12,450.72,71.295
867.8,19.864,865.38,22.409,151.79
674.47,108.46,676.21,106.17,116.05
