1747,1728.8,22.478,1746.7,1728.7,22.618,28.384
1056.9,1282.6,17.247,1056.8,1282.4,17.382,25.542
1220.2,633.25,20.219,1220.4,633.24,20.254,9.5378
739.76,1734.6,20.452,739.77,1734.5,20.487,6.8756
1866.1,708.87,11.513,1865.8,708.75,11.477,13.706
627.97,254.55,10.952,627.87,254.67,10.924,7.7548
1089.8,1870.5,14.469,1089.8,1870.4,14.458,4.8595
981.27,701.39,10.289,980.78,701.3,10.262,20.244
594.44,1342.1,5.6001,594.61,1342.1,5.6348,9.4356
1384.4,998.92,17.765,1384.2,998.74,17.699,16.214
1725.7,1476.6,6.1285,1725.7,1476.6,6.07,10.572
95.288,240.33,7.0967,95.608,240.31,7.3106,40.536
1628.1,713.21,6.1595,1628.3,713.38,6.172,9.4656
1047.2,730.88,13.128,1047.1,730.77,13.089,8.8058
925.33,1162.2,21.296,925.42,1162.1,21.422,22.941
1566,720,6.8127,1566.1,720.19,6.7877,9.5644
1430.9,609.66,12.233,1430.8,610.02,12.219,16.034
458.08,805.42,8.7649,458.67,805.41,8.7633,23.372
1627.9,820.02,21.587,1627.7,819.32,21.769,43.49
730.26,17.755,25.717,729.9,17.779,25.76,16.084
1599.3,1086.2,9.6962,1599,1086,9.7037,13.411
950.58,536.81,21.222,950.6,536.78,21.177,8.3415
575.15,73.393,20.878,572.41,73.625,21.049,113.57
293.62,1498.1,12.198,293.8,1498,12.248,13.144
144.47,163.17,26.246,145.64,162.96,26.142,50.7
1484.9,1383.6,18.644,1485.1,1383.8,18.682,13.154
1399.8,606.47,27.943,1399.8,606.41,27.12,148.19
1887.4,865.58,6.1096,1887.4,865.55,6.2549,26.233
1472,471.86,20.255,1471.7,472.15,20.165,23.686
374.46,862.1,7.9906,373.79,861.51,8.3386,72.009
1708.2,974.3,7.7193,1708,974.23,7.8346,22.736
1282.4,565.92,23.393,1282.3,566.1,23.53,26.635
1584.7,1131,12.847,1584.6,1130.8,12.863,11.091
1428.5,1881.9,9.314,1428.4,1882.4,9.5101,40.112
1427.8,433.2,12.773,1427.9,433,12.791,9.7205
948.01,1774.7,11.96,948.28,1774.8,12.103,28.029
18.902,688.98,8.3309,19.005,689.29,8.3345,13.163
221.69,1757.4,6.5721,222.06,1757.4,6.5909,15.286
1506,1520.7,18.77,1501,1518.4,18.979,220.55
548.43,732.67,11.736,548.43,732.31,11.854,25.612
1751.8,1513.8,17.627,1751.6,1513.5,17.538,22.761
157.31,70.791,25.495,157.21,70.982,25.508,8.8842
1499.6,1659.3,14.102,1499.3,1659.3,14.223,24.939
1498.2,639.92,23.438,1497.9,639.72,23.702,49.893
1508.2,280.09,12.03,1508.2,280.03,12.071,7.9519
347.36,1025.4,5.6167,347.65,1025.3,5.852,43.871
185.84,1399.8,15.835,186.34,1399.9,15.961,30.353
484.91,479.79,6.7648,485.14,479.77,6.8406,16.551
1609.3,1042.2,11.616,1608.9,1042.1,11.562,20.571
443.88,312.77,24.999,443.99,312.89,25.101,19.626
805.29,487.31,6.5643,805.29,487.27,6.7113,26.505
1363.7,19.62,5.0024,1363.5,19.9,5.1282,26.185
1882,741.73,5.4142,1881.8,741.73,5.4065,6.3713
1803.6,813.66,4.7899,1803.3,813.64,4.7826,12.666
1758.4,873.4,7.8652,1758.3,873.13,7.7921,17.49
1580,700.57,17.178,1579.6,700.45,17.168,16.93
1100.8,356.16,4.5654,1100.9,356.3,4.8875,58.269
1468.6,1189.9,25.556,1468.5,1190.1,25.551,7.8839
1303.5,1123.5,15.176,1303.3,1123.2,14.994,35.649
1066.1,409.07,19.436,1066.2,409.04,19.31,23.06
815.71,1676.5,15.408,815.95,1676.1,15.474,22.949
1076.2,574.24,5.0714,1076.5,574.23,5.0062,16.477
1155.8,1762,19.573,1155.7,1761.8,19.603,12.179
1219.1,1250.3,19.13,1218.7,1250.1,19.065,19.25
1077.9,123.99,15.596,1077.9,124.18,15.779,33.926
369.55,143.33,14.59,369.41,143.65,14.706,25.092
908.53,211.46,15.082,908.7,211.64,15.267,34.776
1221.5,1024.5,17.407,1221.1,1024.3,17.333,21.26
1122.7,928.65,9.4217,1122.6,928.64,9.4657,8.1793
452.94,663.59,14.787,453.07,663.45,14.754,9.783
340.07,277.95,23.706,339.86,277.98,24.028,58.633
1603.9,975.07,24.61,1603.5,975.02,24.736,28.01
357.65,342.53,18.892,357.58,342.47,19.048,28.284
714.35,282.16,20.213,714.63,282.3,20.177,13.978
1840.1,1082.1,8.3738,1839.7,1082.1,8.3695,15.399
854.37,726.91,6.5989,854.3,726.8,6.699,18.742
602.93,1607.1,7.4004,603.45,1607,7.6048,42.47
1639.4,589.45,7.3741,1639.2,589.15,7.3514,16.296
542.49,137.72,18.969,542.29,137.81,19.013,11.798
1481.2,76.833,10.707,1481.1,76.695,10.601,20.197
1083.7,45.249,7.99,1083.8,45.33,7.927,12.151
1146.9,1588.6,18.555,1146.8,1588.4,18.543,9.6285
1446.2,993.07,6.4135,1445.8,993.3,6.3953,18.929
1482.3,813.31,22.739,1481.7,813.38,22.692,24.221
1436,930.05,11.627,1436,929.87,11.72,18.31
622.85,1370.8,19.897,622.78,1370.7,20.071,31.98
415.92,584.39,19.147,415.82,584.39,19.274,23.284
966.75,1429.6,10.898,966.67,1429.4,10.757,27.654
1422.2,520.82,15.817,1422.2,520.91,15.842,5.8055
1672.7,270.92,11.525,1672.8,271.18,11.672,28.726
545.57,262.07,18.877,545.56,262,19.008,23.927
1105,122.69,16.2,1105,122.69,16.276,13.807
1395.4,534.24,6.4757,1395.6,534.28,6.5856,22.536
1686.5,1651.9,23.084,1686.5,1651.7,23.138,14.687
1032.3,1875.4,15.97,1032.2,1875.4,16.024,10.746
1083.5,1451.7,22.103,1083.2,1451.6,22.098,15.123
1605.4,1621.2,24.482,1605.1,1620.8,24.435,20.154
1624.6,1601.1,22.234,1624.2,1600.9,22.27,18.809
391.6,844.77,19.489,391.39,845.19,19.472,18.882
1272,1817.1,7.6837,1272.4,1816.9,7.4937,36.471
770,414.35,20.12,770,414.44,20.357,42.744
511.07,786.06,7.8358,511.37,785.78,7.8173,16.322
1901.5,1104.8,7.945,1899.4,1104.5,7.6657,95.785
1005.5,1667.8,8.4825,1005.4,1667.9,8.5728,16.512
1620.5,518.31,7.8612,1620.2,518.33,8.0145,30.38
293.44,909.32,9.2784,293.74,909.31,9.2464,13.192
1183.4,1779.8,21.352,1183.5,1779.8,21.391,8.0604
871.99,1267.3,10.992,871.74,1267.1,11.045,16.107
576.64,393.02,19.704,576.6,392.83,19.826,23.315
1160.3,581.76,10.975,1160.1,581.75,11.138,29.944
333.28,895.5,11.569,333.38,895.37,11.657,17.192
497.21,597.61,15.44,497.32,597.81,15.641,37.293
1405.4,54.616,4.509,1405.2,54.872,4.5667,15.783
1281.3,1687.7,5.8879,1281.6,1687.5,6.0937,40.508
834.68,1207.6,17.142,834.83,1207.6,17.1,9.6062
1408,187,18.161,1408.1,186.98,18.284,22.776
701.13,600.31,4.38,701.16,600.4,4.4947,20.977
1577.8,1071.9,16.98,1577.5,1071.7,17.004,15.556
1306.8,402.95,7.2163,1306.6,403.21,7.1866,13.288
1096.3,754.85,7.0367,1096.4,754.86,7.0627,5.9082
273.95,1057.5,18.174,274.13,1057.3,18.162,9.3575
1681,185.97,9.2869,1680.8,186.25,9.4423,31.926
839.23,234,6.8802,839.24,233.89,6.9264,9.4127
743.4,1557.7,11.071,743.38,1557.6,11.357,51.782
1825.4,576.04,5.5471,1825.4,575.89,5.528,7.0523
1487.9,373.15,4.5219,1487.5,373.14,4.5364,14.822
41.667,1889.2,11.991,42.001,1889.1,11.925,17.966
1045,757.86,7.2448,1045.2,757.93,7.3874,26.407
1429.4,902.44,4.8486,1429.5,902.38,5.0041,28.308
1614.2,1686.3,8.984,1614.2,1686.1,8.897,18.209
1159.7,532.55,23.438,1159.7,532.48,23.518,14.653
168.17,1595.5,9.6201,168.13,1595.3,9.8014,33.93
1530.6,1677.6,12.83,1530.5,1677.5,12.96,25.332
214.55,1123.9,12.349,214.48,1123.9,12.336,3.9678
13.226,318.82,17.775,13.152,318.7,17.846,13.993
196.8,1100.7,18.726,197.06,1100.5,18.887,32.25
1620.4,115.75,5.3389,1619.9,116.13,5.369,26.898
1545.9,1496.7,7.2431,1545.8,1496.2,7.5058,51.412
277.92,995.58,6.9738,277.77,995.58,6.9728,5.8462
1349.3,922.41,13.056,1349.2,922.19,12.964,19.129
719.81,185.51,20.058,719.83,185.25,19.845,39.703
1494.6,353.21,11.417,1494.4,353.39,11.647,42.706
1322.3,289.46,11.779,1322.2,289.47,11.901,22.637
1502.9,1070.7,8.8418,1503,1070.7,8.7797,12.205
330.11,901.55,19.844,330.77,901.56,19.982,36.182
1223.3,1601.2,10.1,1223.5,1600.9,9.9865,25.128
1477.2,1026.4,12.866,1477.2,1026.3,13.021,28.185
1274,905.92,17.713,1273.8,905.56,17.971,49.468
113,1325,12.243,113.16,1324.6,12.285,18.728
1251.5,61.988,24.022,1251.3,62.442,24.255,46.464
65.938,1870.1,6.1067,65.766,1870,6.1143,7.6116
390.12,927.06,5.3327,390.46,927.02,5.2731,17.493
